label,method,source,start_name,plot_iteration,solver_iteration,stage,objective,l2_h,max_abs_h,load_supplied_pct
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,93,93,rho=1e+02,0.2505059074023363,0.05295752553860894,0.01780916397984085,82.34774615649036
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,94,94,rho=1e+02,0.2505066101346451,0.052957392818664364,0.01780895655255739,82.34767921492177
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,95,95,rho=1e+02,0.2505070929337627,0.052957301618924084,0.0178087694799417,82.34777217224865
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,96,96,rho=1e+02,0.2505080604773422,0.05295711889286976,0.01780855624153023,82.34806848306788
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,97,97,rho=1e+02,0.250506509728465,0.05295741171354131,0.01780850669080923,82.34797329692991
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,98,98,rho=1e+02,0.2505059710251606,0.05295751342626338,0.017808406994238732,82.3479206775716
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,99,99,rho=1e+02,0.25050561861627463,0.052957579970020395,0.01780839367186103,82.34788773807898
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,100,100,rho=1e+02,0.25050590963513375,0.05295752501316199,0.017808402937640605,82.34787926144959
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,101,101,rho=1e+02,0.25050572825829204,0.0529575592608051,0.01780838707375286,82.34781389486315
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,102,102,rho=1e+02,0.25050569384929844,0.05295756574676842,0.017808365350355987,82.34780868180444
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,103,103,rho=1e+02,0.25050553777398965,0.052957595207438056,0.017808273099371774,82.34763038289906
